State;Energy Consumption Statewise(billion Btu);Year;Energy Consumption Yearly(billion BTU)
AK;458992.0351;1960;45079292
AL;1645592.93;1961;45731168
AR;877930.1228;1962;47824415
AZ;935614.0877;1963;49661147
CA;6652926.667;1964;51826046
CO;994312.2281;1965;54027593
CT;735400.0351;1966;57026015
DC;174870.2281;1967;58926572
DE;242161.2807;1968;62414722
FL;2890375.351;1969;65596682
GA;2084564.702;1970;67741611
HI;244913.4035;1971;69186565
IA;1050579.491;1972;72705040
ID;399977.386;1973;75755267
IL;3686613.702;1974;73947572
IN;2459882.614;1975;71986573
KS;985655.4561;1976;76002450
KY;1471778.246;1977;77988301
LA;3553890.474;1978;80021769
MA;1385441.877;1979;80882446
MD;1222884.877;1980;78092506
ME;394431.8246;1981;76141756
MI;2772467.596;1982;73058784
MN;1409739.93;1983;72934367
MO;1532167.491;1984;76571095
MS;931081.2632;1985;76464077
MT;355461.4561;1986;76639363
NC;1940753.105;1987;79005567
ND;317527.3684;1988;82760410
NE;578556.8246;1989;84776434
NH;242107.7719;1990;84506007
NJ;2166895.596;1991;84434783
NM;541323.8772;1992;85787680
NV;405512.4561;1993;87393191
NY;3817101.404;1994;89113599
OH;3810914.351;1995;91093327
OK;1256059.684;1996;94089700
OR;906272.7544;1997;94748492
PA;3796434.544;1998;95029805
RI;204280.807;1999;96628206
SC;1180361.123;2000;98807639
SD;232195.2632;2001;96143798
TN;1786058.684;2002;97648367
TX;9565391.281;2003;97915776
UT;564496.2281;2004;100097583
VA;1826671.333;2005;100183716
VT;127135.0175;2006;99447077
WA;1717131.439;2007;100991264
WI;1517472.895;2008;98861525
WV;743945.8421;2009;94093700
WY;368279.4211;2010;97543976
 ; ;2011;96897848
 ; ;2012;94454840
 ; ;2013;97223138
 ; ;2014;98391552
 ; ;2015;97410967
 ; ;2016;97314710
 ; ;2017;96814710
 ; ;2018;101915710
