Month;Year;Total Energy Consumed by the Residential Sector (Trillion Btu);Total Energy Consumed by the Commercial Sector (Trillion Btu);Total Energy Consumed by the Industrial Sector (Trillion Btu);Total Energy Consumed by the Transportation Sector (Trillion Btu);Primary Energy Consumption Total (Trillion Btu)
Apr;1973;1177.661;735.461;2550.21;1482.632;5944.336
Apr;1974;1215.416;754.176;2427.63;1469.842;5863.745
Apr;1975;1366.55;823.414;2104.502;1510.837;5800.645
Apr;1976;1163.868;753.23;2359.133;1584.545;5858.227
Apr;1977;1132.077;752.308;2463.15;1640.796;5983.088
Apr;1978;1206.671;775.855;2521.259;1671.216;6173.557
Apr;1979;1240.043;829.144;2572.446;1653.147;6291.051
Apr;1980;1209.233;799.022;2484.338;1677.628;6162.598
Apr;1981;1108.806;778.621;2399.475;1594.921;5879.369
Apr;1982;1294.481;879.979;2224.421;1649.936;6044.908
Apr;1983;1273.99;874.034;2188.932;1540.887;5873.836
Apr;1984;1291.656;903.717;2460.433;1625.737;6275.386
Apr;1985;1206.396;868.993;2355.024;1685.978;6110.942
Apr;1986;1180.938;871.68;2345.154;1722.59;6113.781
Apr;1987;1250.069;913.464;2374.998;1783.711;6317.775
Apr;1988;1260.376;951.389;2403.707;1841.677;6453.888
Apr;1989;1340.074;1012.141;2509.764;1806.787;6664.217
Apr;1990;1299.575;1041.201;2613.099;1819.303;6771.44
Apr;1991;1269.986;1026.761;2457.714;1787.944;6540.725
Apr;1992;1356.808;1052.212;2600.92;1838.055;6845.998
Apr;1993;1381.568;1070.677;2593.978;1863.264;6907.478
Apr;1994;1308.67;1073.521;2680.067;1923.874;6983.323
Apr;1995;1337.888;1116.771;2738.623;1920.446;7110.693
Apr;1996;1457.257;1164.673;2746.853;2001.486;7367.17
Apr;1997;1388.353;1196.161;2880.827;2066.751;7528.446
Apr;1998;1362.054;1206.862;2812.973;2138.327;7515.051
Apr;1999;1450.178;1278.825;2822.596;2112.747;7661.384
Apr;2000;1429.03;1315.254;2780.876;2154.026;7675.245
Apr;2001;1466.15;1309.963;2705.956;2166.76;7644.101
Apr;2002;1507.436;1349.537;2693.276;2215.502;7763.633
Apr;2003;1489.746;1323.802;2666.84;2196.146;7672.877
Apr;2004;1457.74;1338.355;2720.99;2285.766;7798.779
Apr;2005;1462.781;1326.3;2620.988;2314.431;7720.135
Apr;2006;1459.097;1333.468;2577.344;2348.443;7715.81
Apr;2007;1510.795;1404.731;2645.381;2364.361;7922.623
Apr;2008;1523.56;1406.414;2602.639;2308.521;7838.374
Apr;2009;1504.33;1374.959;2247.831;2215.377;7341.651
Apr;2010;1351.194;1305.731;2465.958;2245.318;7365.336
Apr;2011;1452.361;1350.476;2495.945;2196.08;7493.759
Apr;2012;1288.849;1295.142;2481.603;2154.235;7214.299
Apr;2013;1486.952;1352.715;2508.054;2175.297;7519.205
Apr;2014;1424.18;1348.026;2568.18;2220.525;7558.169
Apr;2015;1343.788;1352.369;2544.439;2233.044;7470.291
Apr;2016;1341.178;1345.719;2504.259;2266.152;7452.048
Apr;2017;1310.055;1322.234;2557.895;2265.357;7452.221
Apr;2018;1549.761;1434.485;2587.415;2317.597;7884.304
Aug;1973;1018.978;706.301;2817.613;1649.55;6194.365
Aug;1974;987.592;688.995;2735.222;1604.223;6018.263
Aug;1975;1012.72;717.022;2452.756;1560.436;5747.213
Aug;1976;1002.932;736.425;2622.754;1609.175;5973.736
